#z     rhoz(avg_xy)
0.920   0.972   
2.760   0.980   
4.600   0.989   
6.440   0.980   
8.280   0.978   
10.120  0.970   
11.960  0.987   
13.800  0.978   
15.640  0.973   
17.480  0.980   
19.320  0.973   
21.160  0.913   
23.000  0.917   
24.840  0.916   
26.680  0.916   
28.520  0.909   
30.360  0.901   
32.200  0.913   
34.040  0.926   
35.880  0.969   
37.720  0.968   
39.560  0.983   
41.400  0.977   
43.240  0.991   
45.080  0.963   
46.920  0.978   
48.760  0.974   
50.600  0.980   
52.440  0.967   
54.280  0.978   
